Sample	Type
SRR5553896	liver metastasis
SRR5553897	liver metastasis
SRR5553898	liver metastasis
SRR5553899	liver metastasis
SRR5553900	liver metastasis
SRR5553901	liver metastasis
SRR5553902	liver metastasis
SRR5553903	liver metastasis
SRR5553904	liver metastasis
SRR5553905	liver metastasis
SRR5553906	liver metastasis
SRR5553907	liver metastasis
SRR5553908	liver metastasis
SRR5553909	liver metastasis
SRR5553910	liver metastasis
SRR5553911	liver metastasis
SRR5553912	liver metastasis
SRR5553913	liver metastasis
SRR5553914	liver metastasis
SRR5553915	liver metastasis
SRR5553916	liver metastasis
SRR5553917	liver metastasis
SRR5553918	liver metastasis
SRR5553919	liver metastasis
SRR5553920	liver metastasis
SRR5553921	liver metastasis
SRR5553922	liver metastasis
SRR5553923	liver metastasis
SRR5553924	lymph node metastasis
SRR5553925	lymph node metastasis
SRR5553926	lymph node metastasis
SRR5553927	lymph node metastasis
SRR5553928	lymph node metastasis
SRR5553929	lymph node metastasis
SRR5553930	lymph node metastasis
SRR5553931	lymph node metastasis
SRR5553932	mesenteric metastasis
SRR5553933	primary
SRR5553934	primary
SRR5553935	primary
SRR5553936	primary
SRR5553937	primary
SRR5553938	primary
SRR5553939	primary
SRR5553940	primary
SRR5553941	primary
SRR5553942	primary
SRR5553943	primary
SRR5553944	primary
SRR5553945	primary
SRR5553946	primary
SRR5553947	primary
SRR5553948	primary
SRR5553949	primary
SRR5553950	primary
SRR5553951	primary
SRR5553952	primary
SRR5553953	primary
SRR5553954	primary
SRR5553955	primary
SRR5553956	primary
SRR5553957	primary
SRR5553958	primary
SRR5553959	primary
SRR5553960	primary
SRR5553961	primary
SRR5553962	primary
SRR5553963	primary
SRR5553964	primary
SRR5553965	primary
SRR5553966	primary
SRR5553967	primary
SRR5553968	primary
SRR5553969	primary
SRR5553970	primary
SRR5553971	primary
SRR5553972	primary
SRR5553973	primary
SRR5553974	primary
SRR5553975	primary
SRR5553976	primary
3780_180504_RNA_1_S7	lymph node metastasis
3791_180504_RNA_1_S8	lymph node metastasis
3801_180412_RNA_1_S9	liver metastasis
3802_180705_RNA_S10	lymph node metastasis
3806_180406_RNA_S11	lymph node metastasis
3809_180406_RNA_S12	lymph node metastasis
3814_180504_RNA_S13	lymph node metastasis
